collision_year_x,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_imd_decile,escooter_flag,driver_distance_banding,collision_year_y,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail_historic,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control_historic,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards_historic,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,high_risk,hour,month
2024,9,0,-1,19,6,2,0,8,0,0,0,0,4,1,-1,6,2,20,4,1461,2,9,3,0,1,2024,10,2,1,5,-1,5,0,6,30,-1,13,4,6,0,-1,-1,17,1,1,1,-1,-1,0,1,2,2,1,0,15,6
2024,9,0,-1,9,1,7,0,0,0,0,0,0,1,1,-1,9,1,18,4,1198,1,8,4,0,1,2024,42,4,2,4,-1,4,1335,6,40,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,0,18,5
2024,9,0,-1,19,8,4,0,0,1,0,1,9,1,1,-1,2,2,25,5,1896,2,22,3,0,3,2024,40,1,1,6,-1,6,0,6,40,-1,0,-1,6,0,-1,-1,0,6,2,2,-1,-1,0,2,3,2,1,0,18,1
2024,9,0,-1,19,3,6,0,0,1,0,7,0,1,1,-1,6,1,21,5,1896,2,21,3,0,4,2024,99,2,1,4,-1,4,9170,6,60,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,2,1,-1,1,1,17,5
2024,9,0,-1,9,5,3,0,0,0,0,0,0,1,1,-1,6,2,23,5,999,1,6,3,0,1,2024,13,2,1,7,-1,6,0,6,30,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,2,2,1,0,16,3
2024,9,0,18,19,6,2,0,1,0,0,1,1,1,1,6,6,1,24,5,999,1,0,1,0,4,2024,5,2,2,3,-1,6,0,6,30,3,13,2,6,0,0,5,15,1,1,1,3,0,12,1,1,2,0,0,14,5
2024,9,0,-1,19,3,7,0,0,0,0,0,0,1,1,-1,9,2,25,5,1498,1,0,8,0,3,2024,99,2,1,2,-1,3,811,6,60,-1,0,-1,6,0,-1,-1,0,1,2,2,-1,-1,0,2,1,-1,1,0,13,9
2024,9,0,-1,8,4,7,0,1,0,0,0,0,2,1,-1,9,2,25,5,999,1,6,-1,0,-1,2024,99,2,2,7,-1,3,90,7,30,-1,-1,4,6,0,-1,-1,17,1,1,1,-1,-1,0,1,2,-1,1,0,12,1
2024,9,0,-1,13,3,7,0,8,0,0,0,0,1,1,-1,1,2,23,5,999,1,0,5,0,2,2024,22,2,2,7,-1,3,438,6,60,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,2,1,2,1,0,12,7
2024,9,0,-1,9,3,1,0,6,0,0,0,0,1,9,-1,6,1,21,5,1498,1,2,8,0,1,2024,20,2,2,6,-1,6,0,6,30,-1,13,4,6,0,-1,-1,0,4,1,1,-1,-1,0,1,1,2,1,0,19,2
2024,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,9,-1,6,1,22,5,1598,2,5,5,0,2,2024,35,2,2,3,-1,6,0,6,30,-1,19,-1,6,0,-1,-1,-1,1,1,1,-1,-1,-1,1,3,2,1,0,16,10
2024,9,0,-1,19,1,5,0,-1,0,0,0,10,1,1,-1,9,1,18,4,1498,1,0,3,0,4,2024,7,1,2,1,-1,1,6,3,70,-1,0,-1,-1,-1,-1,-1,0,6,1,1,-1,-1,0,2,1,1,1,0,5,9
2024,9,0,-1,14,6,2,0,0,0,0,0,0,1,1,-1,9,1,18,4,999,1,6,-1,0,-1,2024,20,1,1,7,-1,6,0,6,30,-1,0,-1,-1,-1,-1,-1,0,4,1,2,-1,-1,0,1,1,2,1,1,23,10
2024,9,0,-1,8,3,1,0,1,0,0,0,0,2,9,-1,6,1,24,5,1498,1,4,1,0,3,2024,20,2,1,4,-1,3,4100,6,30,-1,16,2,6,0,-1,-1,15,4,1,1,-1,-1,0,1,2,2,1,0,21,4
2024,9,0,-1,19,4,8,0,8,0,0,0,0,4,1,-1,9,1,19,4,999,1,4,7,0,3,2024,34,2,2,4,-1,3,5123,6,30,-1,16,2,5,0,-1,-1,14,4,2,2,-1,-1,0,1,1,2,1,0,21,10
2024,9,0,9,9,1,7,0,8,0,0,0,0,1,1,6,6,1,21,5,999,1,6,1,0,2,2024,5,2,1,5,-1,3,562,6,30,3,13,4,6,0,0,0,0,1,2,2,0,0,0,1,1,2,0,0,15,2
2024,9,0,-1,19,1,5,0,0,1,0,7,2,1,1,-1,6,2,23,5,999,1,1,3,0,1,2024,63,1,1,4,-1,6,0,6,20,-1,0,-1,6,0,-1,-1,0,4,2,2,-1,-1,0,1,1,-1,1,0,21,9
2024,19,0,-1,19,6,2,0,0,0,0,0,0,3,1,-1,1,1,22,5,1248,2,11,1,0,4,2024,99,2,2,4,-1,3,737,6,60,-1,0,-1,-1,-1,-1,-1,0,4,2,2,-1,-1,17,2,1,-1,1,1,20,12
